36I2M|645,604,1927,67||||||881400,896167,903421,909935
RZZ4C|5639,249,158||||||907800,919069,934236
IMG9R|1128,66,119,963||||||921000,929956,933071,948391
NVK31|3660,158,3498||||||874200,895702,904250
OIDYD|3168,3671,3660||||||943800,955292,961157
QYB3H|3671,5910,1125,154||||||948600,947368,971910,974192
FTO9M|909,692,67,174||||||864000,871554,883615,898057
WLRZT|3501,2576,158||||||919800,923350,922386
6V431|20383,2499,97||||||913800,925473,937351
PU3GU|465,495,56||||||876600,885301,892425
TY3UZ|63073,3976,41704,52327||||||880200,886645,896081,897936
QMYH4|1284,4090,67||||||939000,958603,967127
0Y43A|135,2006,153||||||864600,871092,876262
KZB65|1302,1284,67||||||868800,877022,891603
CH547|5910,745,495,153||||||882000,882214,887843,897401
JY3PD|3912,148,3912||||||876600,879246,880965
6PRJV|546,2525,154,6300||||||938400,953739,964612,968741
D5Q0R|16244,3976,195918||||||868800,876089,885533
6BTYY|3759,97,15526||||||938400,955228,964825
MDNA1|315967,3976,110914||||||870600,875421,884301
J3QXE|52199,4008,296142||||||904800,913618,919551
A51LF|3173,66,3549||||||944400,964940,986983
F5KIG|2170,889,67,215||||||885000,907730,917005,927306
UPLO6|18290,3912,179281||||||865800,875945,877935
OI6TG|66,119,66||||||886200,888372,888945
86KPS|2499,889,857,2574||||||945000,956474,986762,1014899
OUN7T|495,745,56||||||877200,883359,888658
WT50R|3976,52327,41704,4008||||||864000,874643,879335,887477
L2FOI|5639,249,158,66||||||915000,928783,943309,959605
TA0GT|6407,153,56,436||||||882600,888707,896470,917592
P5L2W|320,495,135||||||876000,893427,897351
VUFUN|2170,889,67||||||920400,941064,952896
YR8J6|3976,41704,110914||||||889800,898252,901982
59C1D|52077,16244,3976||||||906000,905438,913645
CBLBU|745,5910,745,6407,56||||||910800,913853,914966,920369,921170
2PDB0|20383,1013,20383||||||867000,873682,888848
2SWLY|873,1762,604||||||876600,883946,882918
2CR0R|5077,880,1762||||||874800,888220,893976
RNBHY|52327,41704,3976||||||901800,904900,908819
TW389|737,873,1010,715,1762,67,692,604||||||940200,942873,954090,953718,956583,961668,971801,976163
X6JW8|2525,9132,3140||||||938400,952060,953287
KAMKH|5268,1450,3271||||||865800,885398,898747
RLJ1U|8014,6407,56||||||936000,944433,948166
6NSNI|270782,130969,3976||||||906600,909328,912882
U86K7|320,495,7410,154,1125||||||879600,896074,900676,909099,911329
48EMN|3976,69758,89929||||||902400,913090,919439
1NQER|52077,89929,41704||||||865800,887365,887282
1D154|18290,8014,3912||||||933600,952739,961946
2G35A|69758,52327,41704||||||883800,890059,892365
