user_890|41704,3976,69750||||||915600,920946,929074
user_kazuhiko_kokaji|52327,3976,69750||||||907200,909493,917138
user_macy_k|454,56,454||||||878400,888549,896897
user_max_maximov|106039,3976,106039||||||921000,928772,942620
user_masahiro_nishiguchi|69750,41704,3976,41704||||||867600,877097,883303,892267
user_genuine_tatsu|41704,69750,3976||||||915600,922553,926261
user_theresa_ganchorre|56,215,857||||||926400,951412,966439
user_peter_kim|495,94,495||||||943800,969696,972493
user_nobtan|69750,3976,16244||||||936000,940758,953368
user_anna_kozlova|106039,3976,106039||||||946200,954006,967739
user_yamachu|41704,3976,52327||||||891000,895024,907035
user_taca69|52327,3976,69750||||||935400,938957,946520
user_yamatema_ametamay|3976,41704,3976||||||892200,902925,907404
user_kyocorin|52327,41704,52327,69750||||||901200,905677,911845,917651
user_caesium133|130969,3976,130969||||||928800,933239,942231
user_kazuya_takeshima|52327,3976,52327||||||905400,909214,919236
user_750277|52327,3976,52327||||||886800,889813,899992
user_graham_siener|56,154,56||||||943200,948439,956346
user_alexander_chupakka|3976,46899,3976||||||868200,877644,882351
user_denis_tanayev|16244,46899,3976||||||916200,921942,927033
user_razorbeam|3976,130969,3976,130969||||||888000,896233,899457,906444
user_chirag_patel|67,174,67||||||870000,888094,902371
user_ben_roodman|154,56,154||||||868200,873530,879679
user_mandy_mckenna|56,495,454||||||936000,945872,950248
user_leon_tai|69750,3976,41704||||||903000,907327,917817
user_bobby_s|745,495,153||||||946200,950059,961141
user_ryan_hinricher|745,495,745||||||871800,874006,877075
user_clive_sheppard|215,66,215||||||903000,927011,951012
user_lenard|154,153,56||||||925800,936719,942389
user_greg_de_j|130969,41704,3976||||||913200,917263,920742
user_emerson_damasceno|66,454,66||||||921000,924653,936506
user_michael_podemski|454,66,454||||||938400,948770,954665
user_atknktn|41704,3976,52327||||||894600,900265,911312
user_pavel_kesada|3976,46899,3976||||||897600,910107,916545
user_31|52327,3976,52327||||||911400,915602,927785
user_t_suguto_k_oyama|3976,41704,3976||||||891600,901365,906315
user_yoshihiro_minegishi|52327,3976,41704||||||885600,890299,900529
user_akifumi_yamashita|3976,46899,3976||||||936600,946993,952491
user_akamatsu_yuki|52327,41704,3976||||||910200,915873,919058
user_magnus_martin|495,745,495||||||948000,950178,954203
user_jay_minter|745,153,56||||||936000,943264,951940
user_wade|11158,56,153||||||865200,873562,882222
user_amasamas|69750,3976,41704,52327,3976||||||928200,932722,941263,945300,947121
user_456|52327,41704,3976||||||895200,898934,903380
user_atsushi_nakamura|52327,41704,52327||||||897000,902689,907817
user_koichi|41704,3976,41704||||||881400,885576,895175
user_thug_style|52327,41704,3976||||||905400,910705,914422
user_jaroslaw_lopuszanski|16244,3976,46899||||||904200,912204,923709
user_mas_daq|52327,3976,52327||||||889800,894497,904700
user_bluey_hk|66,154,66||||||930000,937335,944033
user_yoshihiro|52327,3976,52327||||||915600,917423,927318
user_mike_arabitg|56,154,153||||||946800,953060,964401
user_yoshihiro|16244,46899,16244||||||930000,934525,937829
user_saisiki|52327,41704,52327||||||919800,924029,928552
user_some_inu|69750,3976,41704||||||909600,913849,921928
user_750277|52327,41704,69750||||||895200,900542,908984
user_mikhail_geisherik|3976,46899,3976||||||927000,937203,940628
user_lindsay_w|215,67,66||||||864000,873897,896477
user_maiki_mai|3976,41704,3976,69750,3976||||||902400,913667,917097,926649,928836
user_jenn_ng|66,454,66||||||918600,924233,936153
user_shungo_arai|130969,41704,52327||||||897600,902827,906571
user_moritag|41704,3976,41704||||||924000,928371,936540
user_alex_white|174,94,153||||||937800,953170,966526
user_takeshi_yamamoto|3976,41704,3976||||||909000,919995,925256
user_hiroyuki_hirakoba|69750,3976,52327||||||913200,915813,928299
