user_maia_bittner|745,153,495|dr5rsr,dr5rgb,dr5rsr|Parks&Outdoors:Other-Parks&Outdoor,Shops:Technology,Shops:Food&Drink:Grocery/Supermarket|35,35,36|7,7,1|65,78,0|1283721751,1283733151,1283750026
user_micah_baldwin|56,94,174|dr5ru2,dr5rzn,9xjddn|Food:CoffeeShop,Travel:Airport,Travel:Airport:FoodCourt|29,29,29|3,3,4|55,71,6|1247684395,1247698663,1247726307
user_micah_baldwin|56,66,215|dr5ru2,dr5x1p,9q5c1e|Food:CoffeeShop,Travel:Airport,Travel:Airport|38,38,38|2,2,3|68,91,25|1285107281,1285127241,1285154869
user_austin_bryan|153,56,495|dr5rgb,dr5ru2,dr5rsr|Shops:Technology,Food:CoffeeShop,Shops:Food&Drink:Grocery/Supermarket|38,38,38|3,3,3|69,80,83|1285193834,1285204403,1285206577
user_caroline_mccarthy|67,66,154|9q8vzp,dr5x1p,dr5ru6|Travel:Airport,Travel:Airport,Travel:Subway|50,50,50|2,2,2|20,49,55|1260270125,1260296484,1260302058
user_eric_martinez|56,745,495|dr5ru2,dr5rsr,dr5rsr|Food:CoffeeShop,Parks&Outdoors:Other-Parks&Outdoor,Shops:Food&Drink:Grocery/Supermarket|11,11,11|4,4,4|50,72,82|1268934224,1268953393,1268963062
user_adam_ostrow|154,94,2170|dr5ru6,dr5rzn,djgzqs|Travel:Subway,Travel:Airport,Travel:Airport:Plane|39,39,39|3,3,4|67,92,13|1285797278,1285819257,1285834582
user_nathaniel_mcnamara|67,215,66|9q8vzp,9q5c1e,dr5x1p|Travel:Airport,Travel:Airport,Travel:Airport|31,31,31|3,4,4|93,11,37|1280982018,1280995194,1281018492
user_tessa_horehled|2170,94,454,745|djgzqs,dr5rzn,dr5rud,dr5rsr|Travel:Airport:Plane,Travel:Airport,Travel:TrainStation,Parks&Outdoors:Other-Parks&Outdoor|22,22,22,22|6,6,6,6|48,65,70,71|1243702822,1243718964,1243722907,1243724221
user_tessa_horehled|56,745,495|dr5ru2,dr5rsr,dr5rsr|Food:CoffeeShop,Parks&Outdoors:Other-Parks&Outdoor,Shops:Food&Drink:Grocery/Supermarket|23,23,23|3,3,3|87,87,94|1276138143,1276138378,1276144557
user_robert_jones7|963,94,56|dp3qz9,dr5rzn,dr5ru2|Travel:Airport,Travel:Airport,Food:CoffeeShop|21,21,21|5,5,5|49,61,79|1275066900,1275078488,1275094256
user_mikey_il|745,153,56|dr5rsr,dr5rgb,dr5ru2|Parks&Outdoors:Other-Parks&Outdoor,Shops:Technology,Food:CoffeeShop|14,14,14|5,5,5|61,76,84|1270844583,1270857967,1270865513
user_sam_ys_yoo|46899,3976,52069|sv8zk1,xn7751,wydm9x|Uncategorized,Shops:DepartmentStore,College&Education:Bookstore|33,33,33|2,2,2|9,9,11|1282029681,1282029785,1282031440
user_ben_roodman|154,56,745|dr5ru6,dr5ru2,dr5rsr|Travel:Subway,Food:CoffeeShop,Parks&Outdoors:Other-Parks&Outdoor|33,33,33|6,6,6|69,82,84|1250375069,1250386369,1250388428
user_brian_papa|56,153,495|dr5ru2,dr5rgb,dr5rsr|Food:CoffeeShop,Shops:Technology,Shops:Food&Drink:Grocery/Supermarket|31,31,32|7,7,1|77,86,1|1281313375,1281321880,1281331119
user_ben_kessler|56,495,154|dr5ru2,dr5rsr,dr5ru6|Food:CoffeeShop,Shops:Food&Drink:Grocery/Supermarket,Travel:Subway|29,29,29|6,6,6|66,74,88|1280007694,1280014236,1280027142
user_werner_vogels|94,963,857|dr5rzn,dp3qz9,c23jbu|Travel:Airport,Travel:Airport,Travel:Airport|25,25,25|6,6,7|66,76,4|1277588024,1277597540,1277619053
user_peter_cortez|66,56,215|dr5x1p,dr5ru2,9q5c1e|Travel:Airport,Food:CoffeeShop,Travel:Airport|5,5,5|3,3,4|78,84,17|1265247498,1265253122,1265278677
user_dylan_ko|46899,3976,52069|sv8zk1,xn7751,wydm9x|Uncategorized,Shops:DepartmentStore,College&Education:Bookstore|23,23,23|1,1,1|11,11,42|1275897157,1275897452,1275924821
user_matt_hunter|154,66,67|dr5ru6,dr5x1p,9q8vzp|Travel:Subway,Travel:Airport,Travel:Airport|3,3,3|3,3,4|75,85,17|1295484947,1295493324,1295518937
user_david_rosen|454,56,154|dr5rud,dr5ru2,dr5ru6|Travel:TrainStation,Food:CoffeeShop,Travel:Subway|25,25,25|1,1,1|49,58,85|1277141123,1277148770,1277173158
user_rob_sheppard|454,94,66|dr5rud,dr5rzn,dr5x1p|Travel:TrainStation,Travel:Airport,Travel:Airport|4,4,4|5,6,6|93,10,24|1264828948,1264840919,1264852896
user_eugene_donca_mollino|3976,41704,69750|xn7751,wyjfr5,xn77hk|Shops:DepartmentStore,Travel:TrainStation:Train,College&Education:AcademicBuilding|5,5,5|1,2,2|95,0,4|1265089790,1265090403,1265094417
user_eugene_donca_mollino|41704,69750,3976|wyjfr5,xn77hk,xn7751|Travel:TrainStation:Train,College&Education:AcademicBuilding,Shops:DepartmentStore|6,6,6|1,1,1|0,5,5|1265609608,1265613440,1265613898
user_eugene_donca_mollino|52327,3976,41704|xn774c,xn7751,wyjfr5|Travel:TrainStation,Shops:DepartmentStore,Travel:TrainStation:Train|8,8,8|3,3,3|42,43,60|1267029033,1267029921,1267045461
user_eugene_donca_mollino|3976,69750,41704|xn7751,xn77hk,wyjfr5|Shops:DepartmentStore,College&Education:AcademicBuilding,Travel:TrainStation:Train|10,10,10|4,4,4|57,58,62|1268339065,1268339833,1268343139
user_eugene_donca_mollino|52327,69750,3976,41704|xn774c,xn77hk,xn7751,wyjfr5|Travel:TrainStation,College&Education:AcademicBuilding,Shops:DepartmentStore,Travel:TrainStation:Train|20,20,20,20|3,3,3,3|42,43,44,50|1274283564,1274284358,1274284837,1274290827
user_eugene_donca_mollino|130969,52327,3976,41704|xn76fg,xn774c,xn7751,wyjfr5|Travel:TrainStation:Train,Travel:TrainStation,Shops:DepartmentStore,Travel:TrainStation:Train|33,33,33,33|1,1,1,1|48,48,49,54|1281978121,1281978609,1281979240,1281984054
user_eugene_donca_mollino|69750,3976,41704|xn77hk,xn7751,wyjfr5|College&Education:AcademicBuilding,Shops:DepartmentStore,Travel:TrainStation:Train|33,33,33|5,5,5|50,52,56|1282325700,1282327526,1282331142
user_eugene_donca_mollino|130969,3976,52327,41704|xn76fg,xn7751,xn774c,wyjfr5|Travel:TrainStation:Train,Shops:DepartmentStore,Travel:TrainStation,Travel:TrainStation:Train|35,35,35,35|3,3,3,3|39,47,49,54|1283353014,1283360358,1283362199,1283366050
user_eugene_donca_mollino|52327,41704,3976|xn774c,wyjfr5,xn7751|Travel:TrainStation,Travel:TrainStation:Train,Shops:DepartmentStore|38,38,38|3,3,3|56,58,60|1285182750,1285184426,1285186343
user_heiko_hebig|66,153,495|dr5x1p,dr5rgb,dr5rsr|Travel:Airport,Shops:Technology,Shops:Food&Drink:Grocery/Supermarket|14,14,14|6,6,6|78,88,90|1270946489,1270955472,1270957051
user_anngelica|56,745,495|dr5ru2,dr5rsr,dr5rsr|Food:CoffeeShop,Parks&Outdoors:Other-Parks&Outdoor,Shops:Food&Drink:Grocery/Supermarket|17,17,17|4,4,4|71,85,86|1272581585,1272593702,1272595190
user_dave_kerpen|66,56,1450|dr5x1p,dr5ru2,drt3pb|Travel:Airport,Food:CoffeeShop,Travel:Airport|35,35,35|3,3,3|41,42,49|1283354272,1283355521,1283361819
user_john_eckman|154,66,1450|dr5ru6,dr5x1p,drt3pb|Travel:Subway,Travel:Airport,Travel:Airport|39,39,39|4,4,4|77,82,90|1253837809,1253842307,1253850029
user_john_eckman|56,66,67|dr5ru2,dr5x1p,9q8vzp|Food:CoffeeShop,Travel:Airport,Travel:Airport|10,10,10|1,1,2|76,92,23|1268097253,1268111461,1268135690
user_irene_tien|215,67,66|9q5c1e,9q8vzp,dr5x1p|Travel:Airport,Travel:Airport,Travel:Airport|46,46,46|4,4,5|72,81,8|1258070503,1258078677,1258099674
user_irene_tien|174,94,454|9xjddn,dr5rzn,dr5rud|Travel:Airport:FoodCourt,Travel:Airport,Travel:TrainStation|22,22,22|6,6,6|60,79,92|1275768179,1275785154,1275796946
user_alex_white|153,94,174|dr5rgb,dr5rzn,9xjddn|Shops:Technology,Travel:Airport,Travel:Airport:FoodCourt|24,24,24|6,6,7|71,80,9|1276987631,1276995900,1277018468
user_matthew_caldecutt|154,56,153|dr5ru6,dr5ru2,dr5rgb|Travel:Subway,Food:CoffeeShop,Shops:Technology|40,40,40|7,7,7|74,84,88|1286754130,1286763259,1286766199
user_adam_rodnitzky|67,174,1450|9q8vzp,9xjddn,drt3pb|Travel:Airport,Travel:Airport:FoodCourt,Travel:Airport|12,12,12|4,4,5|68,89,14|1301004814,1301023354,1301042238
user_jeremy_davis|495,94,963|dr5rsr,dr5rzn,dp3qz9|Shops:Food&Drink:Grocery/Supermarket,Travel:Airport,Travel:Airport|47,47,47|3,3,4|61,90,7|1258579434,1258605518,1258616734
user_tarah_feinberg|94,174,67|dr5rzn,9xjddn,9q8vzp|Travel:Airport,Travel:Airport:FoodCourt,Travel:Airport|23,23,23|4,5,5|80,12,24|1276218415,1276243753,1276254705
user_chaz_yoon|1450,963,67|drt3pb,dp3qz9,9q8vzp|Travel:Airport,Travel:Airport,Travel:Airport|7,7,8|7,7,1|63,82,18|1266789529,1266806644,1266835268
user_tikva_morowati|67,66,495|9q8vzp,dr5x1p,dr5rsr|Travel:Airport,Travel:Airport,Shops:Food&Drink:Grocery/Supermarket|42,42,42|6,6,6|20,47,70|1255774351,1255797974,1255819118
user_wungjae_hyun|46899,52069,3976|sv8zk1,wydm9x,xn7751|Uncategorized,College&Education:Bookstore,Shops:DepartmentStore|13,13,13|2,2,2|29,39,48|1269951306,1269961169,1269968535
user_damon_garrett|3976,130969,69750|xn7751,xn76fg,xn77hk|Shops:DepartmentStore,Travel:TrainStation:Train,College&Education:AcademicBuilding|43,43,43|1,1,1|4,13,23|1287987215,1287994672,1288004272
user_yuji_kosugi|52327,130969,3976|xn774c,xn76fg,xn7751|Travel:TrainStation,Travel:TrainStation:Train,Shops:DepartmentStore|40,40,40|6,6,6|40,41,42|1286636630,1286637546,1286638421
user_yuji_kosugi|3976,52327,130969|xn7751,xn774c,xn76fg|Shops:DepartmentStore,Travel:TrainStation,Travel:TrainStation:Train|44,44,44|7,7,7|32,54,55|1289138513,1289158638,1289159220
