userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
user_maia_bittner,0,745,1283721751,1283733151,0,3,11
user_maia_bittner,0,153,1283733151,1283750026,0,3,16
user_maia_bittner,0,495,1283750026,1283750026,0,3,0
user_micah_baldwin,1,56,1247684395,1247698663,0,3,14
user_micah_baldwin,1,94,1247698663,1247726307,0,3,27
user_micah_baldwin,1,174,1247726307,1247726307,0,3,0
user_micah_baldwin,2,56,1285107281,1285127241,0,3,19
user_micah_baldwin,2,66,1285127241,1285154869,0,3,27
user_micah_baldwin,2,215,1285154869,1285154869,0,3,0
user_austin_bryan,3,153,1285193834,1285204403,0,3,10
user_austin_bryan,3,56,1285204403,1285206577,0,3,2
user_austin_bryan,3,495,1285206577,1285206577,0,3,0
user_caroline_mccarthy,4,67,1260270125,1260296484,0,3,26
user_caroline_mccarthy,4,66,1260296484,1260302058,0,3,5
user_caroline_mccarthy,4,154,1260302058,1260302058,0,3,0
user_eric_martinez,5,56,1268934224,1268953393,0,3,19
user_eric_martinez,5,745,1268953393,1268963062,0,3,9
user_eric_martinez,5,495,1268963062,1268963062,0,3,0
user_adam_ostrow,6,154,1285797278,1285819257,0,3,21
user_adam_ostrow,6,94,1285819257,1285834582,0,3,15
user_adam_ostrow,6,2170,1285834582,1285834582,0,3,0
user_nathaniel_mcnamara,7,67,1280982018,1280995194,0,3,13
user_nathaniel_mcnamara,7,215,1280995194,1281018492,0,3,23
user_nathaniel_mcnamara,7,66,1281018492,1281018492,0,3,0
user_tessa_horehled,8,2170,1243702822,1243718964,0,4,16
user_tessa_horehled,8,94,1243718964,1243722907,0,4,3
user_tessa_horehled,8,454,1243722907,1243724221,0,4,1
user_tessa_horehled,8,745,1243724221,1243724221,0,4,0
user_tessa_horehled,9,56,1276138143,1276138378,0,3,0
user_tessa_horehled,9,745,1276138378,1276144557,0,3,6
user_tessa_horehled,9,495,1276144557,1276144557,0,3,0
user_robert_jones7,10,963,1275066900,1275078488,0,3,11
user_robert_jones7,10,94,1275078488,1275094256,0,3,15
user_robert_jones7,10,56,1275094256,1275094256,0,3,0
user_mikey_il,11,745,1270844583,1270857967,0,3,13
user_mikey_il,11,153,1270857967,1270865513,0,3,7
user_mikey_il,11,56,1270865513,1270865513,0,3,0
user_sam_ys_yoo,12,46899,1282029681,1282029785,0,3,0
user_sam_ys_yoo,12,3976,1282029785,1282031440,0,3,1
user_sam_ys_yoo,12,52069,1282031440,1282031440,0,3,0
user_ben_roodman,13,154,1250375069,1250386369,0,3,11
user_ben_roodman,13,56,1250386369,1250388428,0,3,2
user_ben_roodman,13,745,1250388428,1250388428,0,3,0
user_brian_papa,14,56,1281313375,1281321880,0,3,8
user_brian_papa,14,153,1281321880,1281331119,0,3,9
user_brian_papa,14,495,1281331119,1281331119,0,3,0
user_ben_kessler,15,56,1280007694,1280014236,0,3,6
user_ben_kessler,15,495,1280014236,1280027142,0,3,12
user_ben_kessler,15,154,1280027142,1280027142,0,3,0
user_werner_vogels,16,94,1277588024,1277597540,0,3,9
user_werner_vogels,16,963,1277597540,1277619053,0,3,21
user_werner_vogels,16,857,1277619053,1277619053,0,3,0
user_peter_cortez,17,66,1265247498,1265253122,0,3,5
user_peter_cortez,17,56,1265253122,1265278677,0,3,25
user_peter_cortez,17,215,1265278677,1265278677,0,3,0
user_dylan_ko,18,46899,1275897157,1275897452,0,3,0
user_dylan_ko,18,3976,1275897452,1275924821,0,3,27
user_dylan_ko,18,52069,1275924821,1275924821,0,3,0
user_matt_hunter,19,154,1295484947,1295493324,0,3,8
user_matt_hunter,19,66,1295493324,1295518937,0,3,25
user_matt_hunter,19,67,1295518937,1295518937,0,3,0
user_david_rosen,20,454,1277141123,1277148770,0,3,7
user_david_rosen,20,56,1277148770,1277173158,0,3,24
user_david_rosen,20,154,1277173158,1277173158,0,3,0
user_rob_sheppard,21,454,1264828948,1264840919,0,3,11
user_rob_sheppard,21,94,1264840919,1264852896,0,3,11
user_rob_sheppard,21,66,1264852896,1264852896,0,3,0
user_eugene_donca_mollino,22,3976,1265089790,1265090403,0,3,0
user_eugene_donca_mollino,22,41704,1265090403,1265094417,0,3,4
user_eugene_donca_mollino,22,69750,1265094417,1265094417,0,3,0
user_eugene_donca_mollino,23,41704,1265609608,1265613440,0,3,3
user_eugene_donca_mollino,23,69750,1265613440,1265613898,0,3,0
user_eugene_donca_mollino,23,3976,1265613898,1265613898,0,3,0
user_eugene_donca_mollino,24,52327,1267029033,1267029921,0,3,0
user_eugene_donca_mollino,24,3976,1267029921,1267045461,0,3,15
user_eugene_donca_mollino,24,41704,1267045461,1267045461,0,3,0
user_eugene_donca_mollino,25,3976,1268339065,1268339833,0,3,0
user_eugene_donca_mollino,25,69750,1268339833,1268343139,0,3,3
user_eugene_donca_mollino,25,41704,1268343139,1268343139,0,3,0
user_eugene_donca_mollino,26,52327,1274283564,1274284358,0,4,0
user_eugene_donca_mollino,26,69750,1274284358,1274284837,0,4,0
user_eugene_donca_mollino,26,3976,1274284837,1274290827,0,4,5
user_eugene_donca_mollino,26,41704,1274290827,1274290827,0,4,0
user_eugene_donca_mollino,27,130969,1281978121,1281978609,0,4,0
user_eugene_donca_mollino,27,52327,1281978609,1281979240,0,4,0
user_eugene_donca_mollino,27,3976,1281979240,1281984054,0,4,4
user_eugene_donca_mollino,27,41704,1281984054,1281984054,0,4,0
user_eugene_donca_mollino,28,69750,1282325700,1282327526,0,3,1
user_eugene_donca_mollino,28,3976,1282327526,1282331142,0,3,3
user_eugene_donca_mollino,28,41704,1282331142,1282331142,0,3,0
user_eugene_donca_mollino,29,130969,1283353014,1283360358,0,4,7
user_eugene_donca_mollino,29,3976,1283360358,1283362199,0,4,1
user_eugene_donca_mollino,29,52327,1283362199,1283366050,0,4,3
user_eugene_donca_mollino,29,41704,1283366050,1283366050,0,4,0
user_eugene_donca_mollino,30,52327,1285182750,1285184426,0,3,1
user_eugene_donca_mollino,30,41704,1285184426,1285186343,0,3,1
user_eugene_donca_mollino,30,3976,1285186343,1285186343,0,3,0
user_heiko_hebig,31,66,1270946489,1270955472,0,3,8
user_heiko_hebig,31,153,1270955472,1270957051,0,3,1
user_heiko_hebig,31,495,1270957051,1270957051,0,3,0
user_anngelica,32,56,1272581585,1272593702,0,3,12
user_anngelica,32,745,1272593702,1272595190,0,3,1
user_anngelica,32,495,1272595190,1272595190,0,3,0
user_dave_kerpen,33,66,1283354272,1283355521,0,3,1
user_dave_kerpen,33,56,1283355521,1283361819,0,3,6
user_dave_kerpen,33,1450,1283361819,1283361819,0,3,0
user_john_eckman,34,154,1253837809,1253842307,0,3,4
user_john_eckman,34,66,1253842307,1253850029,0,3,7
user_john_eckman,34,1450,1253850029,1253850029,0,3,0
user_john_eckman,35,56,1268097253,1268111461,0,3,14
user_john_eckman,35,66,1268111461,1268135690,0,3,24
user_john_eckman,35,67,1268135690,1268135690,0,3,0
user_irene_tien,36,215,1258070503,1258078677,0,3,8
user_irene_tien,36,67,1258078677,1258099674,0,3,20
user_irene_tien,36,66,1258099674,1258099674,0,3,0
user_irene_tien,37,174,1275768179,1275785154,0,3,16
user_irene_tien,37,94,1275785154,1275796946,0,3,11
user_irene_tien,37,454,1275796946,1275796946,0,3,0
user_alex_white,38,153,1276987631,1276995900,0,3,8
user_alex_white,38,94,1276995900,1277018468,0,3,22
user_alex_white,38,174,1277018468,1277018468,0,3,0
user_matthew_caldecutt,39,154,1286754130,1286763259,0,3,9
user_matthew_caldecutt,39,56,1286763259,1286766199,0,3,2
user_matthew_caldecutt,39,153,1286766199,1286766199,0,3,0
user_adam_rodnitzky,40,67,1301004814,1301023354,0,3,18
user_adam_rodnitzky,40,174,1301023354,1301042238,0,3,18
user_adam_rodnitzky,40,1450,1301042238,1301042238,0,3,0
user_jeremy_davis,41,495,1258579434,1258605518,0,3,26
user_jeremy_davis,41,94,1258605518,1258616734,0,3,11
user_jeremy_davis,41,963,1258616734,1258616734,0,3,0
user_tarah_feinberg,42,94,1276218415,1276243753,0,3,25
user_tarah_feinberg,42,174,1276243753,1276254705,0,3,10
user_tarah_feinberg,42,67,1276254705,1276254705,0,3,0
user_chaz_yoon,43,1450,1266789529,1266806644,0,3,17
user_chaz_yoon,43,963,1266806644,1266835268,0,3,28
user_chaz_yoon,43,67,1266835268,1266835268,0,3,0
user_tikva_morowati,44,67,1255774351,1255797974,0,3,23
user_tikva_morowati,44,66,1255797974,1255819118,0,3,21
user_tikva_morowati,44,495,1255819118,1255819118,0,3,0
