2ZDC0|390158,2115,2113||||||932400,953603,967252
0JD9J|1331,1336,67||||||904200,918671,921595
04I3D|59416,1374,26609||||||933600,932974,934603
WK8GK|2807,52228,2807||||||921000,937012,965043
06P9N|174,963,26306,454||||||886800,898387,916816,924783
R9PEV|5081,3547,277||||||941400,946615,948900
RK5VT|997,2170,30210||||||867000,883864,896800
MQI4P|39291,15660,39392||||||897000,901534,910458
Q8IA3|275688,194641,126502||||||936600,946968,968624
281VF|546,436,546||||||868200,869677,869013
EN3SH|2006,745,155,1477||||||898200,905377,917427,921872
9WIEE|3330,454,158,2006||||||943200,947321,954082,958451
24TV0|20071,17590,20206,2170||||||868800,882248,888387,896776
U6D14|15037,1258,51922||||||943800,963821,970464
XHCYE|842521,2807,7663||||||942600,962155,966723
ZAI36|6951,454,3549,3557||||||896400,918730,926845,931433
EJR1L|13202,7712,2006||||||870600,896264,902687
1V0QI|2101,67,66||||||945000,959845,985178
65SPE|110914,41704,3976||||||911400,917282,922877
P2R5J|1192,115,1128||||||882000,896851,913809
W7W80|4622,692,1741||||||943200,947658,952870
WHOAK|604,18893,1862||||||949800,955638,955991
5QW77|658560,3976,69750,4008||||||936600,938174,947403,955932
0EEA9|256,495,22962||||||883800,890650,906614
5JYU0|38090,6210,215,1477||||||945600,966123,989440,1012691
DA1MS|3976,7375,3976||||||903000,913075,920202
4NDPS|37587,67,889||||||876600,886880,897720
3Q0M7|7851,174,4498,174,67,2170||||||948000,971115,979639,992271,1006640,1026707
Z55KC|69758,52327,3976||||||881400,885820,889998
TAVS9|722994,22444,9814||||||868200,875122,879638
5NJKG|36,8014,7410||||||895800,903095,913365
QY4AH|20374,645,618||||||880800,891139,903036
CQ7EX|526706,1010,1258||||||904800,931579,939291
MR2NW|67554,8014,154||||||889800,899194,912020
TKQOK|366022,63073,3976,69758,41704||||||883800,896424,901004,911669,915672
PV2UH|7750,3547,16230||||||937800,943547,952406
002EE|597,873,715||||||947400,959224,966200
2PU3Z|3176,3146,4952||||||947400,958077,969982
1PDBZ|11560,645,1927||||||868200,886070,897152
QJWNN|125600,9590,889||||||933600,941379,953981
DCDD3|244304,52199,69758,41704||||||937200,940980,946051,950967
SPA0G|5563,83,3575||||||888000,906314,909441
G7LA9|115061,115118,70882||||||945600,968847,969693
7N2VZ|328871,4494,526706,677||||||891600,893693,903268,912118
CGOHJ|970016,3976,54770||||||919800,920083,929039
V7QAP|7400,15526,6210||||||929400,929136,946741
W9L8D|624,737,67,963,97||||||897000,908491,921904,941895,957210
VJL21|963,94,115||||||921600,933290,944840
34QV9|6294,3912,56,3671||||||879600,885227,890361,898848
0K5ZX|3924,6951,5919||||||896400,907139,907679
F34VT|16230,3671,2525||||||934200,940178,940802
I1DIS|3346,2586,3549||||||937200,954273,969507
RVGS4|13202,3912,23338||||||940800,940795,955660
GXRIR|16371,800,4177||||||892200,901977,912033
QPT4C|3007,715,142841||||||935400,944108,949448
6MS4D|51922,1258,1010,880||||||883200,894937,902883,905180
WOJ5F|1034,215,1450||||||897600,910571,936197
