PJDN8|67,2499,215||||||864000,876101,885075
TGXQ7|436,56,2525||||||870000,883258,889528
7QNEZ|880,1010,67||||||938400,937822,949448
AIJ82|14458,46899,52069||||||876600,877799,884692
XN3E6|495,6718,153||||||892200,907215,921951
8KTRP|69750,69758,41704,3976||||||894000,905655,908390,914017
JC2FO|6300,6718,296||||||929400,947415,965113
DET4K|7410,436,153,2006,56,7410||||||937800,938641,951123,960753,969145,976400
MX1EG|8014,66,215||||||948000,965997,989627
P8MVH|6300,745,5910,56||||||889200,891335,893743,897166
NV01Z|153,3660,127||||||905400,908649,911560
LJVGS|249,158,127||||||869400,882053,892533
TAC15|436,148,3912||||||948600,963252,965310
H6EEG|94,153,3912||||||909000,915411,926924
MWVSB|889,97,997,97||||||864600,884315,901438,918276
1HBUD|745,2525,745||||||892800,895561,902499
8GPW3|1302,67,889||||||870000,881864,890757
0ACCH|11158,56,153||||||880200,887212,893743
4P93N|41704,52327,3976||||||874200,877565,880179
WUPTV|56,153,836,56||||||932400,939891,946541,954130
NUZFH|94,174,215,66||||||867000,888592,901590,924328
SRYZX|3168,127,148||||||947400,965322,981733
WQYO6|153,56,158,3498,158,454||||||874800,881810,897760,905812,919557,935729
XVT3O|8639,8014,3277,296||||||944400,959505,968288,971635
VCZ8P|6951,16234,56||||||874800,875872,880280
GCFOL|106039,47626,3976||||||948000,949218,954886
EDMBJ|110682,215,67||||||880200,890052,898790
OQW5D|5910,3912,148,3912||||||946800,953803,954327,957523
ZTS55|16244,69758,3976||||||873000,873932,879867
16X14|14458,3976,130969||||||910200,916769,925783
9PBTY|69750,3976,69751||||||909000,914848,925700
F7NI7|889,97,2110,97||||||873600,894411,902642,915143
SOJDY|16242,296,66||||||939600,944871,957884
KTJEP|106039,3976,7268||||||920400,926950,942892
UDMK3|5971,5910,745||||||942600,958590,958004
RTPMO|3902,836,3660,2006,56||||||881400,895099,901680,912863,919264
EZNL0|3660,454,2525,495||||||944400,951887,968990,969829
4XYPP|46899,16244,3976||||||927000,931312,936085
1DGEJ|179281,56,745||||||946800,949865,958988
HZR4U|495,454,745||||||938400,944431,947516
V4LP8|148,3912,495,54||||||948600,952243,957609,959335
UO4UW|54,3912,836,454||||||922800,925821,930552,936465
PRPA1|1450,963,97,1894||||||879600,890127,906228,912606
4IIQK|889,215,66||||||901800,912087,934846
LP5EP|52077,3976,52069||||||912600,918513,924448
F0H74|67,97,1894||||||929400,948162,953505
31UZZ|997,174,97||||||892800,905146,918208
HGXMD|69751,270024,3976||||||894000,899985,908945
NWY1M|63073,270024,41704||||||938400,940145,955817
SEJOK|3660,94,153||||||945000,966544,972724
JBN5Z|97,963,67||||||909600,927293,951517
UJ70G|836,154,836,56,148||||||872400,883315,890437,897422,910466
ZL9C3|1735,94,174||||||864600,875000,898318
D5LXT|2110,1894,2110||||||865800,873759,879248
DTTOP|174,97,1894,97||||||893400,907866,914176,929386
S9IZK|8014,179281,436||||||879000,888908,898228
OOFPT|3168,3912,6951||||||943200,948432,964702
YT86R|6571,2525,94,97||||||939600,949681,967994,993606
68XF6|745,158,454||||||883800,887846,904133
9TGS7|5910,745,5910,3277||||||946800,948268,952759,956135
PWF5X|604,880,604||||||883200,885239,887492
ZMDUY|215,97,67,66||||||891600,908748,931146,956478
VIOIF|127,745,5910,56,495||||||883200,901851,906513,910258,921603
X1N6P|6951,16234,6951,153||||||874800,873995,874394,881570
WOCKI|52199,3976,46899||||||930600,934246,941428
3REM5|5910,8014,5971,7410||||||864600,866706,868268,882964
2F2NA|8014,94,1450||||||948600,965748,969964
27YFZ|89929,3976,69750||||||892200,896813,905273
GQ095|6951,3660,745||||||867600,882984,886085
IQNHQ|179281,154,158||||||866400,880359,885594
UNS0U|52199,41704,69750||||||924600,928095,934939
06AJS|11158,56,5910||||||921000,929865,932927
LVCRF|3912,2006,3912,148||||||873600,875140,882219,885145
CZP0N|645,880,67,215||||||886800,896539,913020,924008
GSD5B|2525,3912,148||||||875400,877484,878281
XE1HV|3498,436,158||||||866400,878375,888213
ODHDG|4605,3976,52327||||||942000,946083,957202
8NKHD|16242,296,3660,153,836,56||||||909000,913695,919182,923173,931327,940464
O8SYB|97,1894,97||||||873000,880184,893377
MKTO6|52327,3976,69750,3976,47626||||||921600,926583,935495,942335,950553
689WA|3976,52069,3976||||||877200,884298,890538
58FS9|3660,2006,94||||||882000,892326,901299
MYP2C|14458,3976,89929||||||894000,900514,913405
1OKLS|11158,495,179281,6300,154||||||948600,949401,959335,975177,978418
13ZP8|2110,97,2110||||||884400,895756,901489
ACCDZ|1192,155,1192,115||||||913800,915253,915602,933458
RY74R|454,158,56||||||949200,953351,963811
DKRF4|63020,52069,3976||||||882000,888409,894927
4OFDT|127,153,2006||||||883200,894201,904127
BOUZY|89929,3976,52077||||||909600,913935,920613
0WBGL|2110,1894,2110||||||884400,892386,898403
2K8RY|127,158,6718,148||||||936600,942895,943078,948976
EOZOR|41704,69758,3976||||||904200,906700,915687
NT95O|215,66,153||||||898200,922381,929603
X7V5W|106039,3976,52069||||||923400,928519,936591
GERRG|715,880,715||||||867600,866278,876529
Y7OTK|130969,14458,63073||||||910200,914906,917535
8UL4J|52199,270024,63073,3976||||||904200,906704,911705,916515
NUYHE|174,97,2110||||||941400,952721,960936
7BXCD|20514,56,2525||||||865200,886093,892999
FOM3V|5910,5971,7410||||||943200,953600,968043
GGU5R|5971,836,153,3912||||||944400,959536,971535,983357
